*** Number of masses and masses ***
N = 5
POINT          MAS
  1         1.0000E-10
  2         1.0000E-01
  3         1.0000E-01
  4         1.0000E-01
  5         1.0000E-01

*** SX and SY ***
(SX,SY) = diagonal elements of the S matrix
SX =    1.0000E+00
SY =    3.0000E-01

*** Number of solutions computed by the analytic-continuation method ***
Number of solutions of the N-body problem NSOL(N) =   7
Number of solutions NSOL(K) of the restricted (N+1)-body problem for the Kth solution of the N-body problem
 K     NSOL(K)-all      NSOL(K)-distinct
  1         11                8
  2         15                6
  3         15                8
  4         11                7
  5         11                5
  6          9                4
  7          7                4
Number of solutions of the (N+1)-body problem =   79
Number of solutions of the (N+1)-body problem excluding symmetries =   42

*** X- and Y-coordinates of all configurations computed by the analytic-continuation method ***
K = solution counter of the N-body problem
L = solution counter of the restricted (N+1)-body problem 
FCT = residual of the the relative equilibrium equations at the solution
RMS = RMS error in Cartesian coordinates with respect to the initial guess
(X,Y) = X and Y coordinates of each point mass

    K    L        FCT           RMS                    X                        Y
    1    1     4.4175E-25     2.0018E-09     -2.8102980301856402E+00      2.4808441616456598E+00      1.2170707065306419E+00      2.2145355885768319E+00     -1.2170707037608692E+00      2.2145355879659543E+00     -1.4459749079141231E-16     -8.2860850014422571E-01     -6.6450365455983493E-16     -3.6004626788916343E+00
    1    2     1.4608E-22     1.7142E-09     -1.9419003729877111E+00     -1.7130026014449380E+00      1.2170707060514387E+00      2.2145355880582027E+00     -1.2170707051969434E+00      2.2145355912849678E+00     -1.4459749079141231E-16     -8.2860849890977095E-01     -6.6052604762629587E-16     -3.6004626787326273E+00
    1    3     1.4607E-22     1.3703E-09      1.9419003729859237E+00     -1.7130026014441249E+00      1.2170707051941898E+00      2.2145355912841991E+00     -1.2170707060541923E+00      2.2145355880589714E+00     -1.5981827929577151E-16     -8.2860849890977095E-01     -6.6221796241289439E-16     -3.6004626787326273E+00
    1    4     3.0508E-22     2.4417E-09      1.6451529589918075E+00     -4.5041781034640431E+00      1.2170707054953627E+00      2.2145355901924448E+00     -1.2170707057595782E+00      2.2145355893686269E+00     -1.5220788504359198E-16     -8.2860849824116267E-01     -6.8839374200159802E-16     -3.6004626768279602E+00
    1    5     3.3603E-31     1.8739E-09      3.6653372889394843E-13      4.9069070443195493E+00      1.2170707057934111E+00      2.2145355875137067E+00     -1.2170707057961647E+00      2.2145355875144750E+00     -1.5220788504359184E-16     -8.2860850050220380E-01     -6.3564906575049185E-16     -3.6004626794451142E+00
    1    6     3.0512E-22     2.4417E-09     -1.6451529589938720E+00     -4.5041781034638895E+00      1.2170707057568244E+00      2.2145355893678587E+00     -1.2170707054981162E+00      2.2145355901932131E+00     -1.5220788504359184E-16     -8.2860849824116267E-01     -6.3435118468884883E-16     -3.6004626768279602E+00
    1    7     4.4173E-25     2.0018E-09      2.8102980301813756E+00      2.4808441616447796E+00      1.2170707037581157E+00      2.2145355879651860E+00     -1.2170707065333954E+00      2.2145355885776006E+00     -1.5981827929577151E-16     -8.2860850014422560E-01     -6.5823208818107526E-16     -3.6004626788916343E+00
    1    8     5.9173E-31     1.5121E-09     -2.7594622624155849E-12      2.1905504885816183E+00      1.2170707070653768E+00      2.2145355881474167E+00     -1.2170707070681976E+00      2.2145355881481485E+00     -1.5220788504359184E-16     -8.2860849987837260E-01     -6.3564906733165408E-16     -3.6004626786199720E+00
    1    9     3.3592E-31     1.1544E-09     -2.0667860990553957E-14     -2.2002350842578950E+00      1.2170707056125110E+00      2.2145355899503776E+00     -1.2170707056152643E+00      2.2145355899511463E+00     -1.5220788504359184E-16     -8.2860849749458942E-01     -6.3564906481164265E-16     -3.6004626802189290E+00
    1   10     9.2654E-26     2.4821E-09     -7.8544051437745777E-11     -5.7206423641575848E+00      1.2170707056509751E+00      2.2145355899299957E+00     -1.2170707056527974E+00      2.2145355899333619E+00     -1.5220788504359184E-16     -8.2860849798294101E-01     -6.3564906577170422E-16     -3.6004626761720036E+00
    1   11     3.3592E-31     8.1871E-10      1.5458907871610454E-11      7.3926108990012640E-01      1.2170707057590471E+00      2.2145355899998207E+00     -1.2170707057618004E+00      2.2145355900005894E+00     -1.5220788504359184E-16     -8.2860850117453666E-01     -6.3564906243658727E-16     -3.6004626795773644E+00
    2    1     3.7639E-22     1.4269E-09      1.8097257708102696E+00      3.9517532552932053E+00      1.2684265083969075E+00      0.0000000000000000E+00      1.9556873073500436E-16      3.3620897210734215E+00     -1.2684265089901898E+00      1.4756570042745856E-16     -6.1672916301182500E-16     -3.3620897213712109E+00
    2    2     7.1615E-25     1.7390E-09      2.9296629753412509E+00     -3.0659897743814448E-11      1.2684265066344167E+00      0.0000000000000000E+00      2.1615491291763640E-16      3.3620897217695074E+00     -1.2684265096396941E+00      1.6230354656896032E-16     -6.0706412923664838E-16     -3.3620897217660013E+00
    2    3     7.5776E-23     1.2381E-09     -3.0826671117201897E-09      1.6235572942399199E+00      1.2684265088640558E+00      0.0000000000000000E+00      2.1386387645346375E-16      3.3620897243665877E+00     -1.2684265088596882E+00      1.4756570042745856E-16     -6.1647130618455915E-16     -3.3620897212086418E+00
    2    4     3.7608E-22     1.4208E-09     -1.8097257708135435E+00     -3.9517532552922039E+00      1.2684265089873679E+00      0.0000000000000000E+00      1.9795928625034579E-16      3.3620897213705043E+00     -1.2684265083997295E+00      1.6309893205140160E-16     -6.1137812412171168E-16     -3.3620897210741285E+00
