*** Number of masses and masses ***
N = 6
POINT          MAS
  1         1.0000E-09
  2         1.0000E-01
  3         1.0000E-01
  4         1.0000E-01
  5         1.0000E-01
  6         1.0000E-01

*** SX and SY ***
(SX,SY) = diagonal elements of the S matrix
SX =    1.0000E+00
SY =    3.0000E-01

*** Number of solutions computed by the analytic-continuation method ***
Number of solutions of the N-body problem NSOL(N) =  12
Number of solutions NSOL(K) of the restricted (N+1)-body problem for the Kth solution of the N-body problem
 K     NSOL(K)-all      NSOL(K)-distinct
  1         14               10
  2         20               13
  3         10                7
  4         12                6
  5         12                5
  6         20               13
  7         18               10
  8         12                8
  9         16                6
 10         16                6
 11         12                8
 12          8                4
Number of solutions of the (N+1)-body problem =  170
Number of solutions of the (N+1)-body problem excluding symmetries =   96

*** X- and Y-coordinates of all configurations computed by the analytic-continuation method ***
K = solution counter of the N-body problem
L = solution counter of the restricted (N+1)-body problem 
FCT = residual of the the relative equilibrium equations at the solution
RMS = RMS error in Cartesian coordinates with respect to the initial guess
(X,Y) = X and Y coordinates of each point mass

    K    L        FCT           RMS                    X                        Y
    1    1     2.0537E-21     1.3978E-08      2.2397048520022609E+00      2.7107689647115589E+00      9.9972482177457589E-01      2.4043370954689709E+00      1.7073756825188954E-17      2.9352085439236042E-01     -9.9972484311037579E-01      2.4043370983888623E+00     -2.8729627062817076E-16     -1.5495214584440222E+00     -6.5103320468411994E-16     -3.5526736169406763E+00
    1    2     5.5697E-20     1.9483E-08     -1.0944338199123154E+00     -4.5592489484421819E+00      9.9972483685774471E-01      2.4043371077193814E+00      1.8870994385735148E-17      2.9352086912109315E-01     -9.9972483579749327E-01      2.4043371098234751E+00     -2.7724320528860970E-16     -1.5495214429215840E+00     -6.5147525430429603E-16     -3.5526735981766913E+00
    1    3     1.8597E-29     1.7515E-08      6.1880091508339266E-14     -5.1490060121432979E+00      9.9972483640034016E-01      2.4043371093064207E+00      1.7073756825188954E-17      2.9352086992551402E-01     -9.9972483640301513E-01      2.4043371093066779E+00     -2.8899968886864894E-16     -1.5495214417610732E+00     -6.4954590912027624E-16     -3.5526735953142943E+00
    1    4     2.0530E-21     1.3911E-08     -2.2397048520065024E+00      2.7107689647118089E+00      9.9972484310770093E-01      2.4043370983886057E+00      1.8870994385735160E-17      2.9352085439236042E-01     -9.9972482177725075E-01      2.4043370954692276E+00     -2.8197009740707752E-16     -1.5495214584440222E+00     -6.5415461377539427E-16     -3.5526736169406763E+00
    1    5     5.8331E-25     1.2153E-08     -2.7261418596417235E-11      2.3641239345506326E+00      9.9972484828035313E-01      2.4043370958354613E+00      1.7073756825188954E-17      2.9352085667843364E-01     -9.9972484833647413E-01      2.4043370957983017E+00     -2.8899909133330606E-16     -1.5495214567326960E+00     -6.4954643067733937E-16     -3.5526736152475555E+00
    1    6     1.3497E-20     1.4476E-08     -2.0757896954844277E-01      1.4230285223365422E+00      9.9972483736357831E-01      2.4043371037975105E+00      1.8870994385735160E-17      2.9352084831424835E-01     -9.9972483813029489E-01      2.4043371153139463E+00     -2.8204876769912569E-16     -1.5495214620183189E+00     -6.5409780527166104E-16     -3.5526736196644872E+00
    1    7     1.3499E-20     1.4477E-08      2.0757896955859167E-01      1.4230285223315495E+00      9.9972483812762014E-01      2.4043371153136897E+00      1.7073756825188954E-17      2.9352084831424852E-01     -9.9972483736625317E-01      2.4043371037977681E+00     -2.9886472700151073E-16     -1.5495214620183182E+00     -6.4550729426623374E-16     -3.5526736196644868E+00
    1    8     2.8106E-20     8.8993E-09      1.6793874631246546E+00     -6.6928951431659656E-01      9.9972483164040660E-01      2.4043371188940763E+00      1.7073756825188954E-17      2.9352086343427641E-01     -9.9972484065449696E-01      2.4043370959405355E+00     -2.8563836754026488E-16     -1.5495214550723015E+00     -6.7152095299262277E-16     -3.5526736165305053E+00
    1    9     2.8106E-20     8.9001E-09     -1.6793874631265899E+00     -6.6928951431743022E-01      9.9972484065182210E-01      2.4043370959402792E+00      1.8870994385735160E-17      2.9352086343427658E-01     -9.9972483164308157E-01      2.4043371188943334E+00     -2.8362761498078273E-16     -1.5495214550723015E+00     -6.3366933342724725E-16     -3.5526736165305053E+00
    1   10     3.8771E-29     1.3551E-08      4.0892588013480271E-13      4.4074366456395655E+00      9.9972483795015066E-01      2.4043370914623905E+00      1.7073756825188954E-17      2.9352085317245430E-01     -9.9972483795275791E-01      2.4043370914630620E+00     -2.8900198967335114E-16     -1.5495214604202550E+00     -6.4954392038009230E-16     -3.5526736197788340E+00
    1   11     1.8794E-29     9.6350E-09     -6.0175138963604683E-15     -2.5353948693562858E+00      9.9972483615355878E-01      2.4043371091188428E+00      1.7073756825188954E-17      2.9352087111876701E-01     -9.9972483615623187E-01      2.4043371091191030E+00     -2.8899964747778013E-16     -1.5495214383378835E+00     -6.4954595028764236E-16     -3.5526736256916966E+00
    1   12     5.5696E-20     1.9269E-08      1.0944338199102450E+00     -4.5592489484422769E+00      9.9972483579481808E-01      2.4043371098232171E+00      1.8870994385735160E-17      2.9352086912109321E-01     -9.9972483686041924E-01      2.4043371077196385E+00     -2.9886472700151073E-16     -1.5495214429215838E+00     -6.5594996279239519E-16     -3.5526735981766904E+00
    1   13     2.3712E-29     6.3353E-09      1.8138306093081851E-16     -6.2871359183479425E-01      9.9972483627190578E-01      2.4043371095707862E+00      1.7073756825188954E-17      2.9352087404886334E-01     -9.9972483627454567E-01      2.4043371095711343E+00     -2.8900025495575813E-16     -1.5495214658029894E+00     -6.4954542196223639E-16     -3.5526736211274734E+00
